"TLONGDD","TLATDD","RLONGDD","RLATDD","TAGNO","SPECIES","TDATE","UNIQUE","TGEAR","HOOKTYPE","TDEPTHFT","TLENIN","TWTLBS","RDATE","RGEAR","RETDEPTH"
-87.2666666666667,30.3333333333333,-87.2666666666667,30.3333333333333,"42165","RED SNAPPER",2003-01-14,25225,"RR","J",40,14.5,NA,2003-03-02,"RR",50
-80.3,28.4,-80.2833333333333,28.4166666666667,"50237","RED SNAPPER",2004-07-24,30833,"RR","J",80,14,NA,2004-11-28,"RR",80
-86.4166666666667,30.35,-86.45,30.3166666666667,"59239","RED SNAPPER",2005-07-16,37441,"RR","CIRCLE",65,13,NA,2006-05-08,"RR",65
-86.4833333333333,30.35,-86.4833333333333,30.3333333333333,"60158","RED SNAPPER",2005-08-03,37716,"RR","CIRCLE",61,13.75,NA,2005-08-27,"RR",65
-86.2333333333333,30.3,-86.25,30.3,"G43292","RED SNAPPER",2003-05-23,27044,"RR","CIRCLE",78,17,NA,2003-06-17,"RR",80
-80.8333333333333,29.9166666666667,-81.0833333333333,29.9333333333333,"20364","RED SNAPPER",1998-08-08,5704,"RR","",95,15,NA,1998-11-30,"RR",81
-80.7666666666667,29.8333333333333,-80.75,29.85,"20702","RED SNAPPER",2001-12-12,5741,"RR","J",105,18,NA,2002-06-03,"RR",95
-81.2,29.9166666666667,-81.1,29.9166666666667,"20704","RED SNAPPER",2001-12-26,5746,"RR","J",55,16,NA,2002-01-13,"RR",NA
-81.1166666666667,29.8833333333333,-81.1166666666667,29.9,"20708","RED SNAPPER",2002-06-01,5751,"RR","J",65,18,NA,2002-07-05,"RR",67
-81.1166666666667,29.9,-81.1166666666667,29.9,"20738","RED SNAPPER",2002-06-17,5777,"RR","J",65,19,NA,2002-07-11,"RR",74
-81.1166666666667,29.9,-81.1166666666667,29.8833333333333,"20738","RED SNAPPER",2002-07-11,5778,"RR","J",74,19,NA,2002-11-04,"RR",70
-81.1166666666667,29.8833333333333,-81.1166666666667,29.8833333333333,"20745","RED SNAPPER",2002-06-17,5786,"RR","J",65,14,NA,2002-07-17,"RR",65
-81.1166666666667,29.8833333333333,-81.1333333333333,29.8666666666667,"20745","RED SNAPPER",2002-07-17,5787,"RR","J",65,14,NA,2003-04-12,"RR",68
-81.1166666666667,29.8833333333333,-81.1166666666667,29.8833333333333,"20746","RED SNAPPER",2002-06-17,5788,"RR","J",65,14,NA,2002-07-11,"RR",74
-80.8,29.9,-80.9,29.8333333333333,"20751","RED SNAPPER",2002-06-22,5795,"RR","J",95,12,NA,2002-06-27,"RR",70
-80.9,29.8333333333333,-80.95,29.8333333333333,"20751","RED SNAPPER",2002-06-27,5794,"RR","J",74,12,NA,2002-07-18,"RR",79
-80.9666666666667,29.6666666666667,-80.9666666666667,29.6666666666667,"20814","RED SNAPPER",2002-05-18,5862,"RR","J",65,15,NA,2002-05-25,"RR",50
-81.1166666666667,29.9,-81.1166666666667,29.9,"20825","RED SNAPPER",2002-05-18,5874,"RR","J",60,17,NA,2002-06-29,"RR",70
-80.85,29.9166666666667,-80.8333333333333,29.9166666666667,"20831","RED SNAPPER",2002-05-25,5881,"RR","J",90,18,NA,2002-06-14,"RR",90
-81.1166666666667,29.8833333333333,-81.1166666666667,29.9,"20844","RED SNAPPER",2002-06-01,5897,"RR","J",65,15,NA,2002-11-07,"RR",60
-81.1166666666667,29.8833333333333,-81.1166666666667,29.9,"20845","RED SNAPPER",2002-06-01,5898,"RR","J",65,18,NA,2002-11-27,"RR",56
-80.9666666666667,29.6666666666667,-80.9333333333333,29.7666666666667,"20850","RED SNAPPER",2002-05-25,5903,"RR","J",50,17,NA,2002-07-14,"RR",65
-81.0166666666667,30.2,-80.9833333333333,30.2,"20858","RED SNAPPER",2002-07-21,5913,"RR","J",90,13,NA,2004-01-05,"RR",92
-81.0166666666667,30.2,-80.9833333333333,30.2166666666667,"20863","RED SNAPPER",2002-07-21,5918,"RR","J",90,12,NA,2003-06-01,"RR",NA
-81.1166666666667,29.9,-81.1166666666667,29.9,"20885","RED SNAPPER",2002-07-17,5939,"RR","J",68,18,NA,2003-04-23,"RR",64
-80.9833333333333,29.8333333333333,-80.9666666666667,29.85,"21972","RED SNAPPER",1999-04-05,6320,"RR","J",80,15,NA,1999-05-11,"RR",70
-80.95,29.8333333333333,-80.95,29.8333333333333,"21976","RED SNAPPER",1999-04-05,6325,"RR","J",82,17,NA,1999-05-30,"RR",68
-80.7666666666667,29.7333333333333,-80.8333333333333,29.65,"21977","RED SNAPPER",1999-04-03,6326,"RR","J",80,14,NA,1999-08-20,"RR",84
-80.7833333333333,29.9,-80.8,29.9,"21979","RED SNAPPER",1999-04-02,6328,"RR","J",100,16,NA,1999-08-31,"RR",100
